domain,code,enhanced,text,count
yahoo.com.br,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,71896
yahoo.com.br,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to user complaints - {{ip4addr}}; see https://mta1.mail.abc.yahoo.com/kb/postmaster/SLN3434.html,3
yahoo.com.br,552,,"1 Requested mail action aborted, mailbox not found",434
yahoo.com.br,553,5.7.2,[TSS11] All messages from {{ip4addr}} will be permanently deferred; Retrying will NOT succeed. See https://postmaster.yahooinc.com/error-codes,7088
yahoo.com.br,554,,"30 Sorry, your message to {{to}} cannot be delivered. This mailbox is disabled (554.30).",208
yahoo.com,421,,[IPTS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,59
yahoo.com,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,40752
yahoo.com,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to user complaints - {{ip4addr}}; see https://mta1.mail.abc.yahoo.com/kb/postmaster/SLN3434.html,18
yahoo.com,552,,"1 Requested mail action aborted, mailbox not found",3207
yahoo.com,553,5.7.2,[TSS11] All messages from {{ip4addr}} will be permanently deferred; Retrying will NOT succeed. See https://postmaster.yahooinc.com/error-codes,6788
yahoo.com,554,,"30 Sorry, your message to {{to}} cannot be delivered. This mailbox is disabled (554.30).",3712
yahoo.com,554,,Message not allowed - [PH01] Email not accepted for policy reasons. Please visit https://postmaster.yahooinc.com/error-codes,1783
att.com,550,5.7.0,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},2
att.com,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},39308
hotmail.com,451,4.7.650,"The mail server [{{ip4addr}}] has been temporarily rate limited due to IP reputation. For e-mail delivery information, see https://postmaster.live.com (S775) [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",53640
hotmail.com,550,5.5.0,Requested action not taken: mailbox unavailable (S2017062302).,21
hotmail.com,550,5.7.1,"Service unavailable, Client host [{{ip4addr}}] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/{{ip4addr}} (AS3130). [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",16313
hotmail.com,550,5.7.1,"Service unavailable, Helo domain is listed in Spamhaus. To request removal from this list see https://www.spamhaus.org/query/lookup/ (S8001) [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",269
hotmail.com,550,5.7.1,"Service unavailable, MailFrom domain is listed in Spamhaus. To request removal from this list see https://www.spamhaus.org/query/lookup/ (S8002) [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",176
hotmail.com,550,5.7.1,"Unfortunately, messages from [{{ip4addr}}] weren't sent. Please contact your Internet service provider since part of their network is on our block list (S3150). You can also refer your provider to http://mail.live.com/mail/troubleshooting.aspx#errors. [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",5000
humana.com,550,5.1.1,User Unknown,141
humana.com,550,5.7.6,DMARC quarantine policy violation - Please contact your email administrator to fix.,39
humana.com,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},13019
miami.edu,550,5.7.0,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},2
miami.edu,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},12492
icloud.com,550,5.7.1,Mail from IP {{ip4addr}} was rejected due to listing in Spamhaus SBL. For details please see http://www.spamhaus.org/query/bl?ip={{ip4addr}},10557
icloud.com,550,5.7.1,Your email was rejected due to having a domain present in the Spamhaus DBL -- see https://www.spamhaus.org/dbl/,175
icloud.com,554,5.7.1,[CS01] Message rejected due to local policy. Please visit https://support.apple.com/en-us/HT204137,6
shaw.ca,421,4.1.0,4.4.5 Too many messages for this session,250
shaw.ca,550,5.1.0,{{verp}} sender rejected,95
shaw.ca,550,5.1.1,<{{to}}> recipient address rejected,2
shaw.ca,550,5.1.1,<{{to}}> recipient rejected,1560
shaw.ca,554,,abc.int.inet cmsmtp Connection refused - {{ip4addr}},8179
shaw.ca,554,,abc.int.inet cmsmtp Connection refused. {{ip4addr}} has a poor reputation on Cloudmark Sender Intelligence (CSI). Please visit http://csi.cloudmark.com/reset-request/?ip={{ip4addr}} to request a delisting.,13
shaw.ca,554,,shw-ibgw-4001a.ext.cloudfilter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#BL,6
shaw.ca,554,,shw-ibgw-4001a.ext.cloudfilter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#BL,64
shaw.ca,554,,shw-ibgw-4002a.ext.cloudfilter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#BL,6
shaw.ca,554,,shw-ibgw-4002a.ext.cloudfilter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#BL,43
shaw.ca,554,,shw-ibgw-4003a.ext.cloudfilter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#BL,3
shaw.ca,554,,shw-ibgw-4003a.ext.cloudfilter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#BL,59
shaw.ca,554,,shw-ibgw-4004a.ext.cloudfilter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#BL,6
shaw.ca,554,,shw-ibgw-4004a.ext.cloudfilter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#BL,58
cox.net,550,5.1.1,<{{to}}> recipient address rejected,88
cox.net,552,5.2.0,{{verp}} sender rejected. Refer to Error Codes section at https://www.cox.com/residential/support/email-error-codes.html for more information. AUP#POL,21
cox.net,554,,cxr-ibgw-5001a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,282
cox.net,554,,cxr-ibgw-5002a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,273
cox.net,554,,cxr-ibgw-5003a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,2
cox.net,554,,cxr-ibgw-5003a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,515
cox.net,554,,cxr-ibgw-5004a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,3
cox.net,554,,cxr-ibgw-5004a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,636
cox.net,554,,cxr-ibgw-5005a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,988
cox.net,554,,cxr-ibgw-5006a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,122
cox.net,554,,cxr-ibgw-5007a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,2
cox.net,554,,cxr-ibgw-5007a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,323
cox.net,554,,cxr-ibgw-5008a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,476
cox.net,554,,cxr-ibgw-5009a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,212
cox.net,554,,cxr-ibgw-5010a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,603
cox.net,554,,cxr-ibgw-6001a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,450
cox.net,554,,cxr-ibgw-6002a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,510
cox.net,554,,cxr-ibgw-6003a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,470
cox.net,554,,cxr-ibgw-6004a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,275
cox.net,554,,cxr-ibgw-6005a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,2
cox.net,554,,cxr-ibgw-6005a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,245
cox.net,554,,cxr-ibgw-6006a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,2
cox.net,554,,cxr-ibgw-6006a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,462
cox.net,554,,cxr-ibgw-6007a.stratus.cloudmark.com cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#IPBL00001,2
cox.net,554,,cxr-ibgw-6007a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,280
cox.net,554,,cxr-ibgw-6008a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,555
cox.net,554,,cxr-ibgw-6009a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,334
cox.net,554,,cxr-ibgw-6010a.stratus.cloudmark.com cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#IPBL1000,354
msn.com,550,5.5.0,Requested action not taken: mailbox unavailable (S2017062302).,52
msn.com,550,5.7.1,"Service unavailable, Client host [{{ip4addr}}] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/{{ip4addr}} (AS3130). [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",1368
msn.com,550,5.7.1,"Service unavailable, Helo domain is listed in Spamhaus. To request removal from this list see https://www.spamhaus.org/query/lookup/ (S8001) [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",6
msn.com,550,5.7.1,"Service unavailable, MailFrom domain is listed in Spamhaus. To request removal from this list see https://www.spamhaus.org/query/lookup/ (S8002) [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",103
msn.com,550,5.7.1,"Unfortunately, messages from [{{ip4addr}}] weren't sent. Please contact your Internet service provider since part of their network is on our block list (S3140). You can also refer your provider to http://mail.live.com/mail/troubleshooting.aspx#errors. [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",238
msn.com,550,5.7.1,"Unfortunately, messages from [{{ip4addr}}] weren't sent. Please contact your Internet service provider since part of their network is on our block list (S3150). You can also refer your provider to http://mail.live.com/mail/troubleshooting.aspx#errors. [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",6596
clemson.edu,553,5.3.0,<{{to}}>... 5.5.0 User unknown,32
clemson.edu,554,,mx1.clemson.edu ESMTP not accepting messages,2745
clemson.edu,554,,mx2.clemson.edu ESMTP not accepting messages,1419
clemson.edu,554,,mx3.clemson.edu ESMTP not accepting messages,2261
clemson.edu,554,,mx7.clemson.edu ESMTP not accepting messages,1002
bellsouth.net,553,5.3.0,alpd677 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,84
bellsouth.net,553,5.3.0,alpd678 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,73
bellsouth.net,553,5.3.0,alpd679 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,78
bellsouth.net,553,5.3.0,alpd680 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,84
bellsouth.net,553,5.3.0,alpd681 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,108
bellsouth.net,553,5.3.0,alpd682 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,85
bellsouth.net,553,5.3.0,alpd683 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,91
towson.edu,550,,#5.1.0 Address rejected.,68
towson.edu,554,,"esa.towson.iphmx.com Your access to this mail system has been rejected due to the sending MTA's poor reputation. If you believe that this failure is in error, please contact the intended recipient via alternate means.",6416
att.net,553,5.3.0,alpd677 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,96
att.net,553,5.3.0,alpd678 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,90
att.net,553,5.3.0,alpd679 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,91
att.net,553,5.3.0,alpd680 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,90
att.net,553,5.3.0,alpd681 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,101
att.net,553,5.3.0,alpd682 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,92
att.net,553,5.3.0,alpd683 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,99
att.net,553,5.3.0,alph730 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,140
msu.edu,550,5.7.0,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},2
msu.edu,550,5.7.0,https://www.spamhaus.org/sbl/query/SBLCSS,96
msu.edu,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},5196
jhu.edu,550,,#5.1.0 Address rejected.,59
jhu.edu,554,,IronEB1.johnshopkins.edu,663
jhu.edu,554,,IronEB2.johnshopkins.edu,41
jhu.edu,554,,IronEB3.johnshopkins.edu,187
jhu.edu,554,,IronEB4.johnshopkins.edu,177
jhu.edu,554,,IronEB5.johnshopkins.edu,171
jhu.edu,554,,IronEB6.johnshopkins.edu,1022
jhu.edu,554,,IronEB7.johnshopkins.edu,204
jhu.edu,554,,IronEB8.johnshopkins.edu,106
jhu.edu,554,,IronEB9.johnshopkins.edu,464
jhu.edu,554,,IronMTW2.johnshopkins.edu,322
jhu.edu,554,,IronMTW4.johnshopkins.edu,386
jhu.edu,554,,IronMTW5.johnshopkins.edu,155
jhu.edu,554,,IronMTW6.johnshopkins.edu,216
jhu.edu,554,,IronMTW7.johnshopkins.edu,79
jhu.edu,554,,IronMTW8.johnshopkins.edu,216
jhu.edu,554,,IronMTW9.johnshopkins.edu,144
jhu.edu,554,,ironmtw1.johnshopkins.edu,116
jhu.edu,554,,ironmtw3.johnshopkins.edu,256
siriusxm.com,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},4624
aol.com,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,1289
aol.com,552,,"1 Requested mail action aborted, mailbox not found",2200
aol.com,554,,"30 Sorry, your message to {{to}} cannot be delivered. This mailbox is disabled (554.30).",973
aol.com,554,,Message not allowed - [PH01] Email not accepted for policy reasons. Please visit https://postmaster.yahooinc.com/error-codes,764
charter.net,550,5.1.1,<{{to}}> recipient rejected,93
charter.net,554,,CMGW cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#In-1220,10
charter.net,554,,CMGW cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit - https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#In-1200,141
charter.net,554,,impin002.msg.chrl.nc.charter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#In-1220,29
charter.net,554,,impin002.msg.chrl.nc.charter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit - https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#In-1200,140
charter.net,554,,impin003.msg.chrl.nc.charter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#In-1220,8
charter.net,554,,impin003.msg.chrl.nc.charter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit - https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#In-1200,111
charter.net,554,,impin004.msg.chrl.nc.charter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#In-1220,16
charter.net,554,,impin004.msg.chrl.nc.charter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit - https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#In-1200,129
charter.net,554,,impin005.msg.chrl.nc.charter.net cmsmtp Connection Rejected - see http://www.spamhaus.org/query/ip/{{ip4addr}} AUP#In-1220,9
charter.net,554,,impin018.msg.chrl.nc.charter.net cmsmtp {{ip4addr}} is listed on Cloudmark CSI-Global. Please visit - https://csi.cloudmark.com/en/reset?ip={{ip4addr}} AUP#In-1200,1592
ymail.com,421,,[IPTS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,9
ymail.com,421,4.7.0,[TSS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,5324
ymail.com,552,,"1 Requested mail action aborted, mailbox not found",58
ymail.com,553,5.7.2,[TSS11] All messages from {{ip4addr}} will be permanently deferred; Retrying will NOT succeed. See https://postmaster.yahooinc.com/error-codes,1002
ymail.com,554,,"30 Sorry, your message to {{to}} cannot be delivered. This mailbox is disabled (554.30).",29
ymail.com,554,,Message not allowed - [PH01] Email not accepted for policy reasons. Please visit https://postmaster.yahooinc.com/error-codes,32
cox.com,550,5.1.1,User Unknown,73
cox.com,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},4048
hotmail.ca,451,4.7.0,Timeout waiting for client input [abc.def.prod.protection.outlook.com],2
hotmail.ca,451,4.7.500,Server busy. Please try again later from [{{ip4addr}}]. (AS762) [abc.def.prod.protection.outlook.com],59
hotmail.ca,451,4.7.651,"The mail server [{{ip4addr}}] has been temporarily rate limited due to IP reputation. For e-mail delivery information, see https://postmaster.live.com (S3114) [abc.def.prod.protection.outlook.com]",1378
hotmail.ca,451,4.7.651,"The mail server [{{ip4addr}}] has been temporarily rate limited due to IP reputation. For e-mail delivery information, see https://postmaster.live.com (S844) [abc.def.prod.protection.outlook.com]",2970
hotmail.ca,451,4.7.652,The mail server [{{ip4addr}}] has exceeded the maximum number of connections. (S3115) [abc.def.prod.protection.outlook.com],6
hotmail.ca,550,5.5.0,Requested action not taken: mailbox unavailable. [abc.def.prod.protection.outlook.com],3854
hotmail.ca,550,5.7.1,"Service unavailable, Client host [{{ip4addr}}] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/{{ip4addr}} (AS3130). [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",20
hotmail.ca,550,5.7.1,"Unfortunately, messages from [{{ip4addr}}] weren't sent. Please contact your Internet service provider since part of their network is on our block list (S3150). You can also refer your provider to http://mail.live.com/mail/troubleshooting.aspx#errors. [abc.def.prod.protection.outlook.com {{datetime}} {{datetime_uuid}}]",8
yahoo.co.jp,421,4.7.1,"[TS03] All messages from {{ip4addr}} will be temporarily deferred; If retrying does not succeed, see https://support.yahoo-net.jp/PccMail/s/article/H000007355",98
yahoo.co.jp,554,,delivery error: dd Sorry your message to {{to}} cannot be delivered. This account has been disabled or discontinued [#101]. - mta1.mail.abc.yahoo.co.jp,206
yahoo.co.jp,554,,delivery error: dd Sorry your message to {{to}} cannot be delivered. This account has been disabled or discontinued [#102]. - mta1.mail.abc.yahoo.co.jp,3722
yahoo.co.jp,554,,delivery error: dd Sorry your message to {{to}} cannot be delivered. This account has been disabled or discontinued [#104]. - mta1.mail.abc.yahoo.co.jp,34
yahoo.co.jp,554,,delivery error: dd This account has been temporarily suspended. Please try again later. - mta1.mail.abc.yahoo.co.jp,22
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-101] - mta1.mail.abc.yahoo.co.jp,44
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-13] - mta1.mail.abc.yahoo.co.jp,94
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-14] - mta1.mail.abc.yahoo.co.jp,22
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-16] - mta1.mail.abc.yahoo.co.jp,4
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-5] - mta1.mail.abc.yahoo.co.jp,3490
yahoo.co.jp,554,,delivery error: dd This user doesn't have a yahoo.co.jp account ({{to}}) [-6] - mta1.mail.abc.yahoo.co.jp,10
verizon.com,550,5.1.1,User Unknown,270
verizon.com,554,,Blocked - see https://ipcheck.proofpoint.com/?ip={{ip4addr}},7226
pacbell.net,553,5.3.0,alpd677 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,82
pacbell.net,553,5.3.0,alpd678 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,82
pacbell.net,553,5.3.0,alpd679 DNSBL:RBL 521< {{ip4addr}} >_is_blocked.For assistance forward this error to abuse_rbl@abuse-att.net,58
